Device_Name,IP_Address,Frequency,,,,,,
4121 Tablerock Healthcare C9 .95,10.4.121.95,915,,,,,,
4121 Tablerock Healthcare C9 .94,10.4.121.94,906,,,,,,
4121 Tablerock Healthcare C9 .93,10.4.121.93,924,,,,,,
4121 Tablerock Healthcare C5 .59,10.4.121.59,5325,,,,,,
4121 Tablerock Healthcare PBEM5 .56,10.4.121.56,5795,,,,,,
4121 Tablerock Healthcare RM5 .55,10.4.121.55,5235,,,,,,
4121 Tablerock Healthcare RM5 .53,10.4.121.53,5510,,,,,,
4121 Tablerock Healthcare RM5 .51,10.4.121.51,5220,,,,,,
4121 Tablerock Healthcare C5 .50,10.4.121.50,5275,,,,,,
4121 Tablerock Healthcare C2 .20,10.4.121.20,2415,,,,,,
4120 Ranch Run A Muck C9 .96,10.4.120.96,924,,,,,,
4120 Ranch Run A Muck C9 .95,10.4.120.95,915,,,,,,
4120 Ranch Run A Muck C9 .94,10.4.120.94,906,,,,,,
4120 Ranch Run A Muck C9 .93,10.4.120.93,924,,,,,,
4120 Ranch Run A Muck C9 .92,10.4.120.92,915,,,,,,
4120 Ranch Run A Muck C9 .91,10.4.120.91,906,,,,,,
4120 Ranch Run A Muck NSM5 .51,10.4.120.51,5745,,,,,,
4120 Ranch Run A Muck C2+ .27,10.4.120.27,2445,,,,,,
4120 Ranch Run A Muck C2+ .26,10.4.120.26,2470,,,,,,
4120 Ranch Run A Muck PBEM2 .24,10.4.120.24,2462,,,,,,
4120 Ranch Run A Muck C2 .20,10.4.120.20,2425,,,,,,
4119 Rocky Top C9 .96,10.4.119.96,None,,,,,,
4119 Rocky Top C9 .95,10.4.119.95,None,,,,,,
4119 Rocky Top C9 .94,10.4.119.94,None,,,,,,
4119 Rocky Top C9 .93,10.4.119.93,924,,,,,,
4119 Rocky Top C9 .92,10.4.119.92,None,,,,,,
4119 Rocky Top C9 .91,10.4.119.91,None,,,,,,
4119 Rocky Top RM365 .33,10.4.119.33,3666,,,,,,
4119 Rocky Top RM365 .30,10.4.119.30,3656,,,,,,
4115 The Oaks C9 .96,10.4.115.96,924,,,,,,
4115 The Oaks C9 .94,10.4.115.94,None,,,,,,
4115 The Oaks C9 .91,10.4.115.91,906,,,,,,
4115 The Oaks C9 .90,10.4.115.90,915,,,,,,
4115 The Oaks NSM2 .23,10.4.115.23,2457,,,,,,
4115 The Oaks C2 .20,10.4.115.20,2435,,,,,,
4114 Shell Knob C9 .90,10.4.114.90,915,,,,,,
4114 Shell Knob C2 .20,10.4.114.20,2440,,,,,,
4113 Golden C9+ .94,10.4.113.94,924.5,,,,,,
4113 Golden C9+ .93,10.4.113.93,905.5,,,,,,
4113 Golden C9+ .92,10.4.113.92,923,,,,,,
4113 Golden C9+ .91,10.4.113.91,905.5,,,,,,
4113 Golden RM5 .50,10.4.113.50,5230,,,,,,
4113 Golden C2 .26,10.4.113.26,2457,,,,,,
4113 Golden C2 .25,10.4.113.25,2437,,,,,,
4113 Golden C2 .24,10.4.113.24,2415,,,,,,
4113 Golden C2 .23,10.4.113.23,2457,,,,,,
4113 Golden C2 .22,10.4.113.22,2435,,,,,,
4113 Golden C2 .21,10.4.113.21,2415,,,,,,
4111 Burk C9 .90,10.4.111.90,924,,,,,,
4111 Burk RM5 .50,10.4.111.50,5205,,,,,,
4111 Burk RM2 .20,10.4.111.20,2422,,,,,,
4109 Oak Grove C9 .90,10.4.109.90,906,,,,,,
4109 Oak Grove RM365 .30,10.4.109.30,3656,,,,,,
4109 Oak Grove PBEM2 .28,10.4.109.28,2462,,,,,,
4107 Emerald Beach C9 .91,10.4.107.91,915,,,,,,
4107 Emerald Beach C9 .90,10.4.107.90,906,,,,,,
4107 Emerald Beach RM2 .20,10.4.107.20,2437,,,,,,
4106 Lampe C9 .90,10.4.106.90,915,,,,,,
4106 Lampe C2 .20,10.4.106.20,2415,,,,,,
4001 Able Road RM365 .33,10.4.1.33,3656,,,,,,
4001 Able Road RM365 .32,10.4.1.32,3671,,,,,,
4001 Able Road RM365 .31,10.4.1.31,3671,,,,,,
4001 Able Road NSM2 .29,10.4.1.29,2464,,,,,,
3099 Woods C9 .97,10.3.99.97,924,,,,,,
